market,type,revenue,year,source
Global,Online video,5800000000,2012,http://www.statista.com/statistics/272856/worldwide-online-video-advertising-spending-forecast/
Global,Online video,7000000000,2013,http://www.statista.com/statistics/272856/worldwide-online-video-advertising-spending-forecast/
Global,Online video,8300000000,2014,http://www.statista.com/statistics/272856/worldwide-online-video-advertising-spending-forecast/
Global,Online video,9800000000,2015,http://www.statista.com/statistics/272856/worldwide-online-video-advertising-spending-forecast/
Global,Online video,11400000000,2016,http://www.statista.com/statistics/272856/worldwide-online-video-advertising-spending-forecast/
Global,Facebook,5031110000,2012,http://markets.ft.com/research/Markets/Tearsheets/Forecasts?s=FB:NSQ
Global,Facebook,7647580000,2013,http://markets.ft.com/research/Markets/Tearsheets/Forecasts?s=FB:NSQ
Global,Facebook,12385570000,2014,http://markets.ft.com/research/Markets/Tearsheets/Forecasts?s=FB:NSQ
Global,Facebook,17204520000,2015,http://markets.ft.com/research/Markets/Tearsheets/Forecasts?s=FB:NSQ
Global,Facebook,23285030000,2016,http://markets.ft.com/research/Markets/Tearsheets/Forecasts?s=FB:NS
