year,quarter,subs
2012,Q1,26.5
2012,Q2,27.6
2012,Q3,29.4
2012,Q4,33.3
2013,Q1,36.3
2013,Q2,37.6
2013,Q3,40.3
2013,Q4,44.4
2014,Q1,48.4
2014,Q2,50
2014,Q3,53.1
2014,Q4,57.4
2015,Q1,62.3
2015,Q2,64.8
2015,Q3,0
2015,Q4,0
