"","week","instagram","periscope","meerkat","pinterest","facebook","start","end"
"92","2008-07-06 - 2008-07-12",0,0,0,0,10,2008-07-06,2008-07-12
"93","2008-07-13 - 2008-07-19",0,0,0,0,10,2008-07-13,2008-07-19
"94","2008-07-20 - 2008-07-26",0,0,0,0,11,2008-07-20,2008-07-26
"95","2008-07-27 - 2008-08-02",0,0,0,0,12,2008-07-27,2008-08-02
"96","2008-08-03 - 2008-08-09",0,0,0,0,11,2008-08-03,2008-08-09
"97","2008-08-10 - 2008-08-16",0,0,0,0,11,2008-08-10,2008-08-16
"98","2008-08-17 - 2008-08-23",0,0,0,0,12,2008-08-17,2008-08-23
"99","2008-08-24 - 2008-08-30",0,0,0,0,12,2008-08-24,2008-08-30
"100","2008-08-31 - 2008-09-06",0,0,0,0,13,2008-08-31,2008-09-06
"101","2008-09-07 - 2008-09-13",0,0,0,0,13,2008-09-07,2008-09-13
"102","2008-09-14 - 2008-09-20",0,0,0,0,13,2008-09-14,2008-09-20
"103","2008-09-21 - 2008-09-27",0,0,0,0,14,2008-09-21,2008-09-27
"104","2008-09-28 - 2008-10-04",0,0,0,0,14,2008-09-28,2008-10-04
"105","2008-10-05 - 2008-10-11",0,0,0,0,14,2008-10-05,2008-10-11
"106","2008-10-12 - 2008-10-18",0,0,0,0,15,2008-10-12,2008-10-18
"107","2008-10-19 - 2008-10-25",0,0,0,0,16,2008-10-19,2008-10-25
"108","2008-10-26 - 2008-11-01",0,0,0,0,17,2008-10-26,2008-11-01
"109","2008-11-02 - 2008-11-08",0,0,0,0,17,2008-11-02,2008-11-08
"110","2008-11-09 - 2008-11-15",0,0,0,0,18,2008-11-09,2008-11-15
"111","2008-11-16 - 2008-11-22",0,0,0,0,19,2008-11-16,2008-11-22
"112","2008-11-23 - 2008-11-29",0,0,0,0,19,2008-11-23,2008-11-29
"113","2008-11-30 - 2008-12-06",0,0,0,0,20,2008-11-30,2008-12-06
"114","2008-12-07 - 2008-12-13",0,0,0,0,20,2008-12-07,2008-12-13
"115","2008-12-14 - 2008-12-20",0,0,0,0,21,2008-12-14,2008-12-20
"116","2008-12-21 - 2008-12-27",0,0,0,0,25,2008-12-21,2008-12-27
"117","2008-12-28 - 2009-01-03",0,0,0,0,25,2008-12-28,2009-01-03
"118","2009-01-04 - 2009-01-10",0,0,0,0,24,2009-01-04,2009-01-10
"119","2009-01-11 - 2009-01-17",0,0,0,0,25,2009-01-11,2009-01-17
"120","2009-01-18 - 2009-01-24",0,0,0,0,26,2009-01-18,2009-01-24
"121","2009-01-25 - 2009-01-31",0,0,0,0,26,2009-01-25,2009-01-31
"122","2009-02-01 - 2009-02-07",0,0,0,0,28,2009-02-01,2009-02-07
"123","2009-02-08 - 2009-02-14",0,0,0,0,28,2009-02-08,2009-02-14
"124","2009-02-15 - 2009-02-21",0,0,0,0,28,2009-02-15,2009-02-21
"125","2009-02-22 - 2009-02-28",0,0,0,0,29,2009-02-22,2009-02-28
"126","2009-03-01 - 2009-03-07",0,0,0,0,29,2009-03-01,2009-03-07
"127","2009-03-08 - 2009-03-14",0,0,0,0,29,2009-03-08,2009-03-14
"128","2009-03-15 - 2009-03-21",0,0,0,0,29,2009-03-15,2009-03-21
"129","2009-03-22 - 2009-03-28",0,0,0,0,29,2009-03-22,2009-03-28
"130","2009-03-29 - 2009-04-04",0,0,0,0,31,2009-03-29,2009-04-04
"131","2009-04-05 - 2009-04-11",0,0,0,0,33,2009-04-05,2009-04-11
"132","2009-04-12 - 2009-04-18",0,0,0,0,32,2009-04-12,2009-04-18
"133","2009-04-19 - 2009-04-25",0,0,0,0,32,2009-04-19,2009-04-25
"134","2009-04-26 - 2009-05-02",0,0,0,0,33,2009-04-26,2009-05-02
"135","2009-05-03 - 2009-05-09",0,0,0,0,31,2009-05-03,2009-05-09
"136","2009-05-10 - 2009-05-16",0,0,0,0,32,2009-05-10,2009-05-16
"137","2009-05-17 - 2009-05-23",0,0,0,0,33,2009-05-17,2009-05-23
"138","2009-05-24 - 2009-05-30",0,0,0,0,35,2009-05-24,2009-05-30
"139","2009-05-31 - 2009-06-06",0,0,0,0,34,2009-05-31,2009-06-06
"140","2009-06-07 - 2009-06-13",0,0,0,0,36,2009-06-07,2009-06-13
"141","2009-06-14 - 2009-06-20",0,0,0,0,36,2009-06-14,2009-06-20
"142","2009-06-21 - 2009-06-27",0,0,0,0,36,2009-06-21,2009-06-27
"143","2009-06-28 - 2009-07-04",0,0,0,0,36,2009-06-28,2009-07-04
"144","2009-07-05 - 2009-07-11",0,0,0,0,37,2009-07-05,2009-07-11
"145","2009-07-12 - 2009-07-18",0,0,0,0,39,2009-07-12,2009-07-18
"146","2009-07-19 - 2009-07-25",0,0,0,0,39,2009-07-19,2009-07-25
"147","2009-07-26 - 2009-08-01",0,0,0,0,40,2009-07-26,2009-08-01
"148","2009-08-02 - 2009-08-08",0,0,0,0,40,2009-08-02,2009-08-08
"149","2009-08-09 - 2009-08-15",0,0,0,0,40,2009-08-09,2009-08-15
"150","2009-08-16 - 2009-08-22",0,0,0,0,42,2009-08-16,2009-08-22
"151","2009-08-23 - 2009-08-29",0,0,0,0,44,2009-08-23,2009-08-29
"152","2009-08-30 - 2009-09-05",0,0,0,0,44,2009-08-30,2009-09-05
"153","2009-09-06 - 2009-09-12",0,0,0,0,45,2009-09-06,2009-09-12
"154","2009-09-13 - 2009-09-19",0,0,0,0,46,2009-09-13,2009-09-19
"155","2009-09-20 - 2009-09-26",0,0,0,0,44,2009-09-20,2009-09-26
"156","2009-09-27 - 2009-10-03",0,0,0,0,44,2009-09-27,2009-10-03
"157","2009-10-04 - 2009-10-10",0,0,0,0,46,2009-10-04,2009-10-10
"158","2009-10-11 - 2009-10-17",0,0,0,0,47,2009-10-11,2009-10-17
"159","2009-10-18 - 2009-10-24",0,0,0,0,47,2009-10-18,2009-10-24
"160","2009-10-25 - 2009-10-31",0,0,0,0,47,2009-10-25,2009-10-31
"161","2009-11-01 - 2009-11-07",0,0,0,0,48,2009-11-01,2009-11-07
"162","2009-11-08 - 2009-11-14",0,0,0,0,49,2009-11-08,2009-11-14
"163","2009-11-15 - 2009-11-21",0,0,0,0,48,2009-11-15,2009-11-21
"164","2009-11-22 - 2009-11-28",0,0,0,0,50,2009-11-22,2009-11-28
"165","2009-11-29 - 2009-12-05",0,0,0,0,48,2009-11-29,2009-12-05
"166","2009-12-06 - 2009-12-12",0,0,0,0,49,2009-12-06,2009-12-12
"167","2009-12-13 - 2009-12-19",0,0,0,0,50,2009-12-13,2009-12-19
"168","2009-12-20 - 2009-12-26",0,0,0,0,56,2009-12-20,2009-12-26
"169","2009-12-27 - 2010-01-02",0,0,0,0,57,2009-12-27,2010-01-02
"170","2010-01-03 - 2010-01-09",0,0,0,0,53,2010-01-03,2010-01-09
"171","2010-01-10 - 2010-01-16",0,0,0,0,53,2010-01-10,2010-01-16
"172","2010-01-17 - 2010-01-23",0,0,0,0,55,2010-01-17,2010-01-23
"173","2010-01-24 - 2010-01-30",0,0,0,0,56,2010-01-24,2010-01-30
"174","2010-01-31 - 2010-02-06",0,0,0,0,56,2010-01-31,2010-02-06
"175","2010-02-07 - 2010-02-13",0,0,0,0,57,2010-02-07,2010-02-13
"176","2010-02-14 - 2010-02-20",0,0,0,0,58,2010-02-14,2010-02-20
"177","2010-02-21 - 2010-02-27",0,0,0,0,56,2010-02-21,2010-02-27
"178","2010-02-28 - 2010-03-06",0,0,0,0,57,2010-02-28,2010-03-06
"179","2010-03-07 - 2010-03-13",0,0,0,0,57,2010-03-07,2010-03-13
"180","2010-03-14 - 2010-03-20",0,0,0,0,56,2010-03-14,2010-03-20
"181","2010-03-21 - 2010-03-27",0,0,0,0,58,2010-03-21,2010-03-27
"182","2010-03-28 - 2010-04-03",0,0,0,0,59,2010-03-28,2010-04-03
"183","2010-04-04 - 2010-04-10",0,0,0,0,60,2010-04-04,2010-04-10
"184","2010-04-11 - 2010-04-17",0,0,0,0,61,2010-04-11,2010-04-17
"185","2010-04-18 - 2010-04-24",0,0,0,0,63,2010-04-18,2010-04-24
"186","2010-04-25 - 2010-05-01",0,0,0,0,60,2010-04-25,2010-05-01
"187","2010-05-02 - 2010-05-08",0,0,0,0,61,2010-05-02,2010-05-08
"188","2010-05-09 - 2010-05-15",0,0,0,0,60,2010-05-09,2010-05-15
"189","2010-05-16 - 2010-05-22",0,0,0,0,61,2010-05-16,2010-05-22
"190","2010-05-23 - 2010-05-29",0,0,0,0,60,2010-05-23,2010-05-29
"191","2010-05-30 - 2010-06-05",0,0,0,0,59,2010-05-30,2010-06-05
"192","2010-06-06 - 2010-06-12",0,0,0,0,61,2010-06-06,2010-06-12
"193","2010-06-13 - 2010-06-19",0,0,0,0,62,2010-06-13,2010-06-19
"194","2010-06-20 - 2010-06-26",0,0,0,0,62,2010-06-20,2010-06-26
"195","2010-06-27 - 2010-07-03",0,0,0,0,62,2010-06-27,2010-07-03
"196","2010-07-04 - 2010-07-10",0,0,0,0,63,2010-07-04,2010-07-10
"197","2010-07-11 - 2010-07-17",0,0,0,0,62,2010-07-11,2010-07-17
"198","2010-07-18 - 2010-07-24",0,0,0,0,63,2010-07-18,2010-07-24
"199","2010-07-25 - 2010-07-31",0,0,0,0,64,2010-07-25,2010-07-31
"200","2010-08-01 - 2010-08-07",0,0,0,0,65,2010-08-01,2010-08-07
"201","2010-08-08 - 2010-08-14",0,0,0,0,64,2010-08-08,2010-08-14
"202","2010-08-15 - 2010-08-21",0,0,0,0,65,2010-08-15,2010-08-21
"203","2010-08-22 - 2010-08-28",0,0,0,0,64,2010-08-22,2010-08-28
"204","2010-08-29 - 2010-09-04",0,0,0,0,67,2010-08-29,2010-09-04
"205","2010-09-05 - 2010-09-11",0,0,0,0,67,2010-09-05,2010-09-11
"206","2010-09-12 - 2010-09-18",0,0,0,0,66,2010-09-12,2010-09-18
"207","2010-09-19 - 2010-09-25",0,0,0,0,71,2010-09-19,2010-09-25
"208","2010-09-26 - 2010-10-02",0,0,0,0,67,2010-09-26,2010-10-02
"209","2010-10-03 - 2010-10-09",0,0,0,0,67,2010-10-03,2010-10-09
"210","2010-10-10 - 2010-10-16",0,0,0,0,69,2010-10-10,2010-10-16
"211","2010-10-17 - 2010-10-23",0,0,0,0,69,2010-10-17,2010-10-23
"212","2010-10-24 - 2010-10-30",0,0,0,0,69,2010-10-24,2010-10-30
"213","2010-10-31 - 2010-11-06",0,0,0,0,69,2010-10-31,2010-11-06
"214","2010-11-07 - 2010-11-13",0,0,0,0,67,2010-11-07,2010-11-13
